mmitzrach,mida,mishkal
1509,102,30
1509,103,60
1509,104,87
1509,700,1
1509,2000,1000
1514,101,26.5
1514,102,40
1514,103,80
1514,104,120
1514,700,1
1514,2000,1000
1520,700,1
1520,801,130
1520,802,260
1520,803,390
1520,2000,1000
1521,700,1
1521,801,130
1521,802,260
1521,803,390
1521,2000,1000
1522,700,1
1522,801,130
1522,802,260
1522,803,390
1522,2000,1000
1524,300,12
1524,400,4
1524,700,1
1524,800,228
1524,900,50
1524,2000,1000
1527,700,1
1527,800,210
1527,802,200
1527,900,4.800000190734863
1527,2000,1000
1528,700,1
1528,800,210
1528,2000,1000
1529,300,12
1529,700,1
1529,801,130
1529,802,260
1529,803,390
1529,2000,1000
1530,700,1
1530,801,130
1530,802,260
1530,803,390
1530,2000,1000
1531,700,1
1531,801,130
1531,802,260
1531,803,390
1531,2000,1000
1532,300,12
1532,400,4
1532,700,1
1532,2000,1000
1533,700,1
1533,801,130
1533,802,260
1533,803,390
1533,2000,1000
1535,700,1
1535,801,130
1535,802,260
1535,803,390
1535,2000,1000
1536,700,1
1536,801,130
1536,802,260
1536,803,390
1536,2000,1000
1537,700,1
1537,801,130
1537,802,260
1537,803,390
1537,2000,1000
1538,700,1
1538,801,130
1538,802,260
1538,803,390
1538,2000,1000
1541,700,1
1541,801,130
1541,802,260
1541,803,390
1541,2000,1000
1542,700,1
1542,801,130
1542,802,260
1542,803,390
1542,2000,1000
1544,700,1
1544,801,130
1544,802,260
1544,803,390
1544,2000,1000
1547,700,1
1547,801,130
1547,802,260
1547,803,390
1547,2000,1000
1548,700,1
1548,801,130
1548,802,260
1548,803,390
1548,2000,1000
1549,300,12
1549,400,7
1549,700,1
1549,2000,1000
1551,300,12
1551,400,7
1551,700,1
1551,2000,1000
1553,300,12
1553,400,4
1553,700,1
1553,2000,1000
1554,300,12
1554,400,4
1554,700,1
1554,2000,1000
1555,300,10
1555,400,4
1555,700,1
1555,903,14
1555,2000,1000
1556,300,5
1556,700,1
1556,2000,1000
1560,200,249
1560,300,17
1560,400,6
1560,700,1
1560,2000,1000
1561,102,44
1561,103,49.5
1561,104,58
1561,105,62
1561,700,1
1561,2000,1000
1562,102,52
1562,103,58
1562,104,68
1562,105,73
1562,700,1
1562,2000,1000
1563,202,85
1563,300,5
1563,700,1
1563,2000,1000
1564,100,50
1564,102,44
1564,103,49.5
1564,104,58
1564,105,62
1564,700,1
1564,2000,1000
1565,104,58
1565,700,1
1565,2000,1000
1566,102,44
1566,103,49.5
1566,104,58
1566,105,62
1566,700,1
1566,2000,1000
1567,700,1
1567,801,48
1567,803,124
1567,2000,1000
1568,700,1
1568,801,48
1568,803,124
1568,2000,1000
1569,700,1
1569,801,48
1569,803,124
1569,2000,1000
1570,700,1
1570,801,48
1570,803,124
1570,2000,1000
1571,700,1
1571,801,48
1571,803,124
1571,2000,1000
1572,700,1
1572,801,48
1572,803,124
1572,2000,1000
1573,700,1
1573,800,50
1573,801,48
1573,803,124
1573,2000,1000
1574,100,38
1574,200,243
1574,700,1
1574,2000,1000
1575,100,38
1575,200,243
1575,700,1
1575,2000,1000
1576,300,4
1576,700,1
1576,2000,1000
1577,202,67
1577,300,4
1577,700,1
1577,2000,1000
1578,100,19
1578,700,1
1578,2000,1000
1579,100,19
1579,700,1
1579,2000,1000
1580,100,79
1580,700,1
1580,2000,1000
1582,700,1
1582,800,60
1582,801,58
1582,803,150
1582,2000,1000
1583,700,1
1583,801,170
1583,803,240
1583,2000,1000
1584,700,1
1584,801,170
1584,803,240
1584,2000,1000
1585,700,1
1585,801,170
1585,803,240
1585,2000,1000
1586,700,1
1586,801,170
1586,803,240
1586,2000,1000
1588,700,1
1588,801,170
1588,803,240
1588,2000,1000
1589,700,1
1589,801,170
1589,803,240
1589,2000,1000
1590,700,1
1590,801,108
1590,802,200
1590,2000,1000
1591,700,1
1591,801,108
1591,802,200
1591,2000,1000
1594,700,1
1594,801,108
1594,803,200
1594,2000,1000
1595,700,1
1595,801,108
1595,803,200
1595,2000,1000
1598,100,30
1598,700,1
1598,900,700
1598,2000,1000
1599,103,8
1599,700,1
1599,900,200
1599,2000,1000
1600,103,8
1600,700,1
1600,2000,1000
1603,300,25
1603,400,11
1603,700,1
1603,2000,1000
1604,300,25
1604,400,11
1604,700,1
1604,2000,1000
1605,200,141
1605,300,18
1605,700,1
1605,801,50
1605,802,100
1605,803,200
1605,2000,1000
1606,200,141
1606,300,18
1606,700,1
1606,801,50
1606,802,100
1606,803,200
1606,2000,1000
1607,200,202
1607,300,12.60000038146973
1607,700,1
1607,2000,1000
1608,300,15
1608,400,7
1608,700,1
1608,801,50
1608,802,100
1608,803,200
1608,2000,1000
1610,300,15
1610,400,7
1610,700,1
1610,801,50
1610,802,100
1610,803,200
1610,2000,1000
1611,300,15
1611,400,7
1611,700,1
1611,801,50
1611,802,100
1611,803,200
1611,2000,1000
1612,300,15
1612,700,1
1612,801,50
1612,802,100
1612,803,200
1612,2000,1000
1613,300,15
1613,400,7
1613,700,1
1613,801,50
1613,802,100
1613,803,200
1613,2000,1000
1614,300,15
1614,400,7
1614,700,1
1614,801,50
1614,802,100
1614,803,200
1614,900,355
1614,2000,1000
1615,200,175
1615,300,15
1615,400,7
1615,700,1
1615,801,50
1615,802,100
1615,803,200
1615,2000,1000
1616,300,25
1616,700,1
1616,800,166
1616,2000,1000
1617,300,16
1617,400,7
1617,700,1
1617,2000,1000
1619,100,8
1619,200,109
1619,300,25
1619,700,1
1619,2000,1000
1620,300,25
1620,700,1
1620,801,50
1620,802,100
1620,803,200
1620,2000,1000
1621,100,6.099999904632568
1621,200,126
1621,700,1
1621,2000,1000
1623,700,1
1623,801,50
1623,802,100
1623,803,200
1623,2000,1000
1624,200,141
1624,300,16
1624,700,1
1624,801,50
1624,802,100
1624,803,200
1624,2000,1000
1625,300,8
1625,400,4
1625,700,1
1625,2000,1000
1627,200,184
1627,300,12.19999980926514
1627,700,1
1627,2000,1000
1628,200,150
1628,300,9.399999618530273
1628,700,1
1628,2000,1000
1629,300,25
1629,400,7
1629,700,1
1629,801,50
1629,802,100
1629,803,200
1629,1006,186
1629,2000,1000
1630,300,15
1630,400,7
1630,700,1
1630,801,50
1630,802,100
1630,803,200
1630,2000,1000
1631,200,180
1631,700,1
1631,2000,1000
1632,300,15
1632,700,1
1632,801,50
1632,802,100
1632,803,200
1632,2000,1000
1633,700,1
1633,903,200
1633,2000,1000
1636,700,1
1636,800,200
1636,2000,1000
1637,200,186
1637,700,1
1637,2000,1000
1638,700,1
1638,800,200
1638,2000,1000
1640,300,38
1640,301,12
1640,302,50
1640,400,12
1640,401,6
1640,402,15
1640,700,1
1640,2000,1000
1641,200,232
1641,300,30
1641,301,12
1641,302,50
1641,400,12
1641,401,6
1641,402,15
1641,600,250
1641,602,100
1641,700,1
1641,2000,1000
1644,300,38
1644,301,12
1644,302,50
1644,400,12
1644,401,6
1644,402,15
1644,700,1
1644,2000,1000
1646,300,38
1646,301,12
1646,302,50
1646,400,12
1646,401,6
1646,402,15
1646,700,1
1646,2000,1000
1647,300,38
1647,301,12
1647,302,50
1647,400,12
1647,401,6
1647,402,15
1647,602,150
1647,700,1
1647,2000,1000
1648,300,38
1648,301,12
1648,302,50
1648,400,12
1648,401,6
1648,402,15
1648,700,1
1648,2000,1000
1649,300,38
1649,301,12
1649,302,50
1649,400,12
1649,401,6
1649,402,15
1649,700,1
1649,2000,1000
1650,700,1
1650,1204,16.32999992370606
1650,2000,1000
1653,200,170
1653,300,21
1653,301,12
1653,302,22
1653,400,7
1653,700,1
1653,801,50
1653,802,100
1653,803,200
1653,2000,1000
1655,200,200
1655,300,12.5
1655,700,1
1655,2000,1000
1657,200,170
1657,300,21
1657,400,7
1657,700,1
1657,800,110
1657,2000,1000
1658,200,170
1658,300,21
1658,400,7
1658,700,1
1658,800,110
1658,801,50
1658,802,100
1658,803,200
1658,2000,1000
1660,300,5
1660,700,1
1660,1006,20
1660,2000,1000
1661,300,19
1661,400,5.5
1661,700,1
1661,801,50
1661,802,100
1661,803,200
1661,2000,1000
1662,300,7
1662,400,3
1662,700,1
1662,1006,78
1662,2000,1000
1663,700,1
1663,1003,360
1663,2000,1000
1664,200,197
1664,700,1
1664,2000,1000
1665,700,1
1665,1003,360
1665,2000,1000
1666,700,1
1666,1003,360
1666,2000,1000
1667,700,1
1667,1003,360
1667,2000,1000
1669,200,180
1669,300,15
1669,700,1
1669,801,50
1669,802,100
1669,803,200
1669,2000,1000
1670,200,180
1670,300,15
1670,400,6
1670,700,1
1670,801,50
1670,802,100
1670,803,200
1670,2000,1000
1671,700,1
1671,800,125
1671,2000,1000
1672,200,192
1672,300,12
1672,700,1
1672,2000,1000
1673,300,8
1673,700,1
1673,1006,62
1673,2000,1000
1674,300,8
1674,700,1
1674,1006,62
1674,2000,1000
1678,700,1
1678,801,150
1678,802,250
1678,803,350
1678,2000,1000
1679,300,8
1679,400,5
1679,700,1
1679,2000,1000
1686,501,13
1686,502,30
1686,503,44
1686,700,1
1686,1207,8
1686,2000,1000
1688,501,13
1688,502,30
1688,503,44
1688,700,1
1688,1207,8
1688,2000,1000
1689,300,15
1689,400,9
1689,700,1
1689,906,227
1689,2000,1000
1691,500,19
1691,700,1
1691,2000,1000
1698,700,1
1698,900,250
1698,2000,1000
1699,500,19
1699,700,1
1699,2000,1000
1704,501,13
1704,502,30
1704,503,44
1704,700,1
1704,1207,8
1704,2000,1000
1706,300,11
1706,400,4
1706,700,1
1706,2000,1000
1708,300,11
1708,400,4
1708,700,1
1708,2000,1000
1709,300,11
1709,400,4
1709,700,1
1709,2000,1000
1711,100,50
1711,700,1
1711,2000,1000
1712,200,288
1712,300,11
1712,400,4
1712,700,1
1712,2000,1000
1715,100,7
1715,700,1
1715,2000,1000
1716,200,84
1716,300,5.199999809265137
1716,700,1
1716,2000,1000
1718,200,84
1718,300,5.199999809265137
1718,700,1
1718,2000,1000
1720,300,10
1720,700,1
1720,2000,1000
1723,700,1
1723,1104,237
1723,2000,1000
1724,300,10
1724,700,1
1724,2000,1000
1726,300,10
1726,700,1
1726,2000,1000
1727,700,1
1727,903,200
1727,2000,1000
1729,700,1
1729,903,200
1729,2000,1000
1731,700,1
1731,903,500
1731,2000,1000
1735,100,38
1735,700,1
1735,2000,1000
1749,200,240
1749,700,1
1749,904,1000
1749,909,250
1749,2000,1000
1754,200,240
1754,700,1
1754,904,1000
1754,2000,1000
1755,200,240
1755,700,1
1755,904,1000
1755,2000,1000
1756,200,240
1756,700,1
1756,904,500
1756,2000,1000
1757,200,240
1757,700,1
1757,2000,1000
1758,200,240
1758,700,1
1758,909,250
1758,910,1000
1758,2000,1000
1759,200,240
1759,700,1
1759,909,125
1759,2000,1000
1760,200,240
1760,700,1
1760,909,250
1760,910,1000
1760,2000,1000
1761,200,240
1761,700,1
1761,909,250
1761,910,1000
1761,2000,1000
1762,200,240
1762,700,1
1762,909,250
1762,2000,1000
1769,700,1
1769,801,130
1769,802,260
1769,803,390
1769,2000,1000
1771,700,1
1771,801,130
1771,802,260
1771,803,390
1771,2000,1000
1772,700,1
1772,801,130
1772,802,260
1772,803,390
1772,2000,1000
1773,700,1
1773,801,130
1773,802,260
1773,803,390
1773,2000,1000
1775,700,1
1775,801,130
1775,802,260
1775,803,390
1775,2000,1000
1776,700,1
1776,801,130
1776,802,260
1776,803,390
1776,2000,1000
1777,300,12
1777,400,4
1777,700,1
1777,900,30
1777,2000,1000
1782,700,1
1782,801,130
1782,802,260
1782,803,390
1782,2000,1000
1784,700,1
1784,801,130
1784,802,260
1784,803,390
1784,2000,1000
1786,700,1
1786,801,130
1786,802,260
1786,803,390
1786,2000,1000
1788,700,1
1788,801,130
1788,802,260
1788,803,390
1788,2000,1000
1790,100,200
1790,700,1
1790,2000,1000
1791,102,12
1791,103,34
1791,104,47
1791,700,1
1791,2000,1000
1792,100,37
1792,700,1
1792,2000,1000
1796,100,75
1796,700,1
1796,2000,1000
1797,100,100
1797,700,1
1797,900,400
1797,2000,1000
1800,100,83
1800,700,1
1800,2000,1000
1805,100,40
1805,700,1
1805,2000,1000
1810,100,83
1810,700,1
1810,2000,1000
1815,100,1.5
1815,700,1
1815,2000,1000
1816,700,1
1816,2000,1000
1817,200,138
1817,700,1
1817,2000,1000
1818,100,1.5
1818,200,192
1818,300,10.5
1818,700,1
1818,2000,1000
1819,200,95
1819,700,1
1819,2000,1000
1820,200,138
1820,700,1
1820,2000,1000
1821,100,1.5
1821,200,192
1821,300,10.5
1821,700,1
1821,2000,1000
1822,100,1.5
1822,200,192
1822,300,10.5
1822,700,1
1822,2000,1000
1823,200,145
1823,206,124
1823,700,1
1823,2000,1000
1824,100,3.299999952316284
1824,700,1
1824,2000,1000
1825,100,4.400000095367432
1825,200,140
1825,700,1
1825,2000,1000
1826,700,1
1826,908,200
1826,2000,1000
1828,100,1.5
1828,700,1
1828,2000,1000
1829,100,8.399999618530273
1829,700,1
1829,2000,1000
1830,100,8.399999618530273
1830,700,1
1830,2000,1000
1831,100,8.399999618530273
1831,700,1
1831,2000,1000
1832,206,160
1832,700,1
1832,1205,45
1832,2000,1000
1833,200,100
1833,300,4
1833,400,2
1833,700,1
1833,2000,1000
1834,100,1.399999976158142
1834,200,135
1834,700,1
1834,2000,1000
1835,700,1
1835,908,200
1835,2000,1000
1836,100,1.399999976158142
1836,200,135
1836,700,1
1836,2000,1000
1838,100,2.599999904632568
1838,700,1
1838,2000,1000
1840,100,1
1840,200,144
1840,300,4
1840,700,1
1840,1006,44
1840,2000,1000
1841,100,1
1841,200,144
1841,300,4
1841,700,1
1841,1006,44
1841,2000,1000
1842,100,1
1842,200,144
1842,300,4
1842,700,1
1842,1006,44
1842,2000,1000
1843,100,1
1843,200,144
1843,300,4
1843,700,1
1843,1006,44
1843,2000,1000
1845,100,3
1845,200,109
1845,700,1
1845,2000,1000
1846,700,1
1846,2000,1000
1847,200,136
1847,300,8.800000190734863
1847,400,3.200000047683716
1847,700,1
1847,2000,1000
1848,100,0.699999988079071
1848,200,123
1848,700,1
1848,2000,1000
1849,200,120
1849,300,10
1849,400,5
1849,700,1
1849,908,200
1849,2000,1000
1850,100,1
1850,200,58
1850,700,1
1850,2000,1000
1852,100,0.699999988079071
1852,200,128
1852,700,1
1852,2000,1000
1853,100,1
1853,200,58
1853,700,1
1853,2000,1000
1854,100,5.5
1854,200,100
1854,207,120
1854,700,1
1854,2000,1000
1856,100,12
1856,200,28
1856,700,1
1856,2000,1000
1857,208,227
1857,700,1
1857,2000,1000
1858,300,25
1858,400,8
1858,700,1
1858,900,340
1858,2000,1000
1859,300,25
1859,400,8
1859,700,1
1859,908,350
1859,2000,1000
1860,300,25
1860,400,8
1860,700,1
1860,2000,1000
1861,300,25
1861,301,12
1861,302,22
1861,400,8
1861,700,1
1861,908,350
1861,2000,1000
1862,300,25
1862,400,8
1862,700,1
1862,908,350
1862,2000,1000
1863,300,25
1863,301,12
1863,400,8
1863,700,1
1863,2000,1000
1864,200,240
1864,700,1
1864,1104,400
1864,2000,1000
1867,300,25
1867,700,1
1867,2000,1000
1868,300,25
1868,700,1
1868,2000,1000
1869,300,3.700000047683716
1869,400,1.5
1869,700,1
1869,2000,1000
1870,200,64
1870,300,5
1870,400,2
1870,700,1
1870,2000,1000
1871,200,64
1871,300,5
1871,400,2
1871,700,1
1871,2000,1000
1872,200,64
1872,300,5
1872,400,2
1872,700,1
1872,2000,1000
1873,300,13
1873,400,6
1873,700,1
1873,2000,1000
1874,700,1
1874,908,200
1874,2000,1000
1875,300,5
1875,400,2
1875,700,1
1875,2000,1000
1877,300,2.700000047683716
1877,400,1
1877,700,1
1877,2000,1000
1878,300,6
1878,400,1.5
1878,700,1
1878,2000,1000
1879,300,5
1879,400,2
1879,700,1
1879,2000,1000
1880,300,2.700000047683716
1880,400,1
1880,700,1
1880,2000,1000
1881,200,150
1881,300,8.399999618530273
1881,400,2.799999952316284
1881,700,1
1881,2000,1000
1883,200,150
1883,300,8
1883,400,2.700000047683716
1883,700,1
1883,2000,1000
1886,300,21
1886,301,11
1886,302,39
1886,400,10
1886,401,4
1886,402,17
1886,700,1
1886,2000,1000
1887,300,21
1887,301,11
1887,302,39
1887,400,10
1887,401,4
1887,402,17
1887,700,1
1887,2000,1000
1889,300,21
1889,301,11
1889,302,39
1889,400,10
1889,401,4
1889,402,17
1889,700,1
1889,2000,1000
1890,300,15
1890,400,5
1890,700,1
1890,2000,1000
1894,300,13
1894,700,1
1894,2000,1000
1895,300,12.5
1895,700,1
1895,2000,1000
1898,300,15
1898,302,17
1898,400,5
1898,700,1
1898,2000,1000
1899,200,145
1899,300,7
1899,400,3
1899,700,1
1899,2000,1000
1900,300,8
1900,400,2
1900,700,1
1900,1006,46
1900,2000,1000
1901,300,6.699999809265137
1901,400,2.099999904632568
1901,700,1
1901,2000,1000
1902,300,8
1902,400,2
1902,700,1
1902,2000,1000
1903,300,13
1903,400,5
1903,700,1
1903,1006,114
1903,2000,1000
1904,102,12
1904,103,16.5
1904,700,1
1904,2000,1000
1906,300,34
1906,400,10
1906,700,1
1906,2000,1000
1907,300,34
1907,400,10
1907,700,1
1907,2000,1000
1910,200,125
1910,300,12
1910,301,6
1910,302,30
1910,400,4
1910,401,2
1910,402,6
1910,700,1
1910,2000,1000
1911,200,125
1911,300,12
1911,301,6
1911,302,30
1911,400,4
1911,401,2
1911,402,6
1911,700,1
1911,2000,1000
1912,300,10
1912,400,4
1912,700,1
1912,903,10
1912,2000,1000
1914,300,14
1914,400,5
1914,700,1
1914,903,50
1914,2000,1000
1915,200,155
1915,301,12
1915,302,25
1915,401,6
1915,402,12
1915,700,1
1915,2000,1000
1916,200,193
1916,700,1
1916,2000,1000
1919,501,28
1919,502,34
1919,503,48
1919,700,1
1919,900,750
1919,2000,1000
1921,501,25.20000076293945
1921,502,30.60000038146973
1921,503,43.20000076293945
1921,700,1
1921,2000,1000
1923,102,70
1923,103,130
1923,104,190
1923,700,1
1923,2000,1000
1925,501,28
1925,502,34
1925,503,48
1925,700,1
1925,2000,1000
1926,501,28
1926,502,34
1926,503,48
1926,700,1
1926,2000,1000
1929,501,28
1929,502,34
1929,503,48
1929,700,1
1929,2000,1000
1932,100,360
1932,500,6
1932,700,1
1932,2000,1000
1933,100,324
1933,500,5.5
1933,700,1
1933,2000,1000
1940,501,28
1940,502,34
1940,503,48
1940,700,1
1940,2000,1000
1942,501,22.5
1942,502,30.60000038146973
1942,503,41.40000152587891
1942,700,1
1942,2000,1000
1945,700,1
1945,2000,1000
1946,100,100
1946,102,50
1946,700,1
1946,2000,1000
1949,100,90
1949,102,45
1949,700,1
1949,2000,1000
1950,100,172
1950,700,1
1950,2000,1000
1951,100,100
1951,700,1
1951,2000,1000
1953,100,50
1953,700,1
1953,2000,1000
1954,104,172
1954,700,1
1954,2000,1000
1955,100,100
1955,700,1
1955,2000,1000
1956,100,200
1956,700,1
1956,2000,1000
1957,100,40
1957,700,1
1957,2000,1000
1958,501,25
1958,502,34
1958,503,46
1958,700,1
1958,2000,1000
1960,100,170
1960,501,30
1960,502,44
1960,503,54
1960,700,1
1960,2000,1000
1961,501,20
1961,502,30.60000038146973
1961,503,41.40000152587891
1961,700,1
1961,2000,1000
1962,501,22.5
1962,502,30.60000038146973
1962,503,41.40000152587891
1962,700,1
1962,2000,1000
1963,502,30.60000038146973
1963,503,41.40000152587891
1963,700,1
1963,2000,1000
1965,501,30
1965,502,44
1965,503,54
1965,700,1
1965,2000,1000
1966,700,1
1966,800,113
1966,2000,1000
1967,700,1
1967,800,113
1967,2000,1000
1969,501,30
1969,502,44
1969,503,54
1969,700,1
1969,2000,1000
1970,100,60
1970,700,1
1970,900,360
1970,2000,1000
1972,100,50
1972,700,1
1972,900,300
1972,2000,1000
1974,100,60
1974,700,1
1974,2000,1000
1975,700,1
1975,2000,1000
1976,104,120
1976,700,1
1976,2000,1000
1977,102,44
1977,104,125
1977,700,1
1977,2000,1000
1978,102,50
1978,104,122
1978,700,1
1978,2000,1000
1980,100,85
1980,104,153
1980,700,1
1980,2000,1000
1982,100,76.5
1982,700,1
1982,2000,1000
1984,300,10
1984,700,1
1984,2000,1000
1986,200,92
1986,300,11
1986,400,4
1986,700,1
1986,2000,1000
1988,300,9
1988,700,1
1988,911,100
1988,912,400
1988,2000,1000
1992,700,1
1992,2000,1000
1993,100,7
1993,700,1
1993,901,220
1993,2000,1000
1995,501,24
1995,502,32
1995,503,42
1995,700,1
1995,901,500
1995,2000,1000
1999,100,500
1999,501,24
1999,502,32
1999,503,42
1999,700,1
1999,900,500
1999,2000,1000
2000,100,500
2000,501,21.60000038146973
2000,502,28.79999923706055
2000,503,37.79999923706055
2000,700,1
2000,2000,1000
2003,100,500
2003,501,24
2003,502,34
2003,503,42
2003,700,1
2003,2000,1000
2005,100,500
2005,501,24
2005,502,32
2005,503,42
2005,700,1
2005,900,500
2005,2000,1000
2006,501,24
2006,502,32
2006,503,46
2006,700,1
2006,2000,1000
2008,500,34
2008,700,1
2008,2000,1000
2009,500,23
2009,700,1
2009,2000,1000
2010,100,85
2010,700,1
2010,2000,1000
2013,100,70
2013,102,25
2013,700,1
2013,900,300
2013,2000,1000
2014,100,70
2014,700,1
2014,2000,1000
2015,700,1
2015,2000,1000
2016,500,20
2016,700,1
2016,900,500
2016,2000,1000
2017,501,24
2017,502,32
2017,503,42
2017,700,1
2017,2000,1000
2018,500,20
2018,700,1
2018,2000,1000
2022,500,23
2022,700,1
2022,2000,1000
2023,501,24
2023,502,32
2023,503,42
2023,700,1
2023,2000,1000
2025,501,24
2025,502,32
2025,503,42
2025,700,1
2025,2000,1000
2029,502,30
2029,503,40
2029,700,1
2029,900,500
2029,2000,1000
2031,500,20
2031,700,1
2031,2000,1000
2032,100,50
2032,700,1
2032,2000,1000
2033,200,102
2033,700,1
2033,2000,1000
2035,700,1
2035,900,500
2035,2000,1000
2037,503,46
2037,700,1
2037,2000,1000
2038,100,50
2038,501,20
2038,502,25
2038,700,1
2038,2000,1000
2039,100,500
2039,700,1
2039,2000,1000
2040,200,162
2040,700,1
2040,2000,1000
2041,700,1
2041,800,200
2041,2000,1000
2042,501,20
2042,502,25
2042,700,1
2042,900,300
2042,2000,1000
2044,502,27
2044,700,1
2044,2000,1000
2045,500,30
2045,700,1
2045,2000,1000
2046,100,140
2046,700,1
2046,2000,1000
2047,500,100
2047,700,1
2047,2000,1000
2048,700,1
2048,1006,50
2048,2000,1000
2049,100,140
2049,700,1
2049,2000,1000
2050,700,1
2050,2000,1000
2051,100,35
2051,700,1
2051,2000,1000
2052,100,35
2052,700,1
2052,2000,1000
2053,101,5
2053,103,13
2053,104,21
2053,700,1
2053,2000,1000
2055,102,30
2055,103,60
2055,104,75
2055,700,1
2055,2000,1000
2056,100,98
2056,700,1
2056,2000,1000
2057,100,49
2057,700,1
2057,2000,1000
2060,100,98
2060,700,1
2060,2000,1000
2061,100,98
2061,700,1
2061,2000,1000
2062,502,30
2062,503,40
2062,700,1
2062,900,750
2062,2000,1000
2064,502,30
2064,700,1
2064,900,750
2064,2000,1000
2065,502,20
2065,700,1
2065,2000,1000
2066,502,27
2066,700,1
2066,2000,1000
2068,500,23
2068,700,1
2068,2000,1000
2069,502,27
2069,700,1
2069,2000,1000
2070,100,175
2070,700,1
2070,2000,1000
2073,700,1
2073,802,161
2073,803,200
2073,2000,1000
2075,700,1
2075,802,161
2075,803,200
2075,2000,1000
2076,100,155
2076,700,1
2076,2000,1000
2077,700,1
2077,800,95
2077,2000,1000
2079,501,25
2079,502,34
2079,503,45
2079,700,1
2079,2000,1000
2080,100,62
2080,501,47.5
2080,502,77.5
2080,503,130
2080,700,1
2080,2000,1000
2081,501,30
2081,502,48
2081,503,74
2081,700,1
2081,2000,1000
2083,501,25
2083,502,34
2083,503,45
2083,700,1
2083,2000,1000
2084,501,25
2084,502,34
2084,503,45
2084,700,1
2084,2000,1000
2085,501,25
2085,502,34
2085,503,45
2085,700,1
2085,2000,1000
2087,501,25
2087,502,34
2087,503,45
2087,700,1
2087,2000,1000
2089,501,25
2089,502,34
2089,503,45
2089,700,1
2089,900,450
2089,2000,1000
2090,501,25
2090,502,34
2090,503,45
2090,700,1
2090,900,450
2090,2000,1000
2094,501,16
2094,502,22
2094,503,28
2094,700,1
2094,2000,1000
2099,500,69
2099,700,1
2099,2000,1000
2102,501,26
2102,502,48
2102,503,76
2102,700,1
2102,2000,1000
2104,501,26
2104,502,48
2104,503,76
2104,700,1
2104,2000,1000
2108,501,50
2108,502,75
2108,503,100
2108,700,1
2108,2000,1000
2112,500,77.5
2112,700,1
2112,2000,1000
2114,501,50
2114,502,75
2114,503,100
2114,700,1
2114,2000,1000
2116,100,77.5
2116,500,77.5
2116,700,1
2116,2000,1000
2119,500,77.5
2119,700,1
2119,2000,1000
2125,501,26
2125,502,48
2125,503,76
2125,700,1
2125,900,450
2125,905,40
2125,2000,1000
2126,501,26
2126,502,48
2126,503,76
2126,700,1
2126,2000,1000
2129,500,30
2129,700,1
2129,900,517
2129,2000,1000
2130,100,100
2130,700,1
2130,2000,1000
2134,100,35
2134,700,1
2134,2000,1000
2137,100,400
2137,501,24
2137,502,40
2137,503,60
2137,700,1
2137,2000,1000
2143,501,26
2143,502,48
2143,503,76
2143,700,1
2143,2000,1000
2147,501,26
2147,502,48
2147,503,76
2147,700,1
2147,2000,1000
2151,501,26
2151,502,48
2151,503,74
2151,700,1
2151,2000,1000
2156,501,26
2156,502,48
2156,503,76
2156,700,1
2156,900,400
2156,2000,1000
2157,501,26
2157,502,35
2157,503,76
2157,700,1
2157,900,450
2157,2000,1000
2158,501,26
2158,502,48
2158,503,76
2158,700,1
2158,2000,1000
2160,500,77.5
2160,700,1
2160,900,450
2160,2000,1000
2161,501,26
2161,502,48
2161,503,76
2161,700,1
2161,900,450
2161,2000,1000
2162,501,26
2162,502,48
2162,503,76
2162,700,1
2162,900,300
2162,2000,1000
2164,100,20
2164,700,1
2164,900,225
2164,2000,1000
2168,100,7
2168,700,1
2168,900,250
2168,2000,1000
2169,700,1
2169,900,200
2169,2000,1000
2170,100,12
2170,700,1
2170,2000,1000
2171,700,1
2171,800,35
2171,900,450
2171,2000,1000
2173,501,21
2173,502,34
2173,503,47
2173,700,1
2173,2000,1000
2181,700,1
2181,2000,1000
2184,501,55
2184,502,98
2184,503,142
2184,700,1
2184,2000,1000
2188,501,26
2188,502,48
2188,503,76
2188,700,1
2188,2000,1000
2190,503,57
2190,700,1
2190,2000,1000
2191,501,26
2191,502,48
2191,503,76
2191,700,1
2191,2000,1000
2196,501,26
2196,502,48
2196,503,76
2196,700,1
2196,2000,1000
2199,501,29
2199,502,76
2199,503,122
2199,700,1
2199,2000,1000
2201,501,26
2201,502,48
2201,503,76
2201,700,1
2201,2000,1000
2203,501,32
2203,502,59
2203,503,93
2203,700,1
2203,2000,1000
2204,501,30
2204,502,55
2204,503,79
2204,700,1
2204,2000,1000
2207,501,25
2207,502,45
2207,503,65
2207,700,1
2207,2000,1000
2210,700,1
2210,2000,1000
2211,501,25
2211,502,45
2211,503,65
2211,700,1
2211,2000,1000
2213,501,30
2213,502,55
2213,503,79
2213,700,1
2213,2000,1000
2215,501,48
2215,502,60
2215,503,86
2215,700,1
2215,2000,1000
2217,501,84
2217,502,118
2217,503,216
2217,700,1
2217,2000,1000
2219,501,77
2219,502,136
2219,503,190
2219,700,1
2219,2000,1000
2220,501,84
2220,502,118
2220,503,216
2220,700,1
2220,2000,1000
2231,502,90
2231,700,1
2231,2000,1000
2233,501,26
2233,502,48
2233,503,76
2233,700,1
2233,2000,1000
2236,501,16
2236,502,22
2236,503,30
2236,700,1
2236,900,400
2236,2000,1000
2237,102,30
2237,103,40
2237,104,64
2237,700,1
